이름,종류,주소,평점,리뷰수
유성온천,대표명소,대전 유성구 봉명동 574,4.1,411
으능정이문화의거리,대표명소,대전 중구 은행동 45-10,4.3,95
대전문화예술단지,대표명소,대전 서구 둔산대로 135,4.5,1797
동춘당,대표명소,대전 대덕구 동춘당로 80,4.4,350
대전둘레산길,대표명소,대전 중구 문화동 산 18-1,4.5,369
효문화마을,대표명소,대전 중구 뿌리공원로 47,4.4,9
대청호반,대표명소,대전 동구 추동 333,4.3,598
엑스포과학공원,대표명소,대전 유성구 엑스포로 85,4.1,126
뿌리공원,대표명소,대전 중구 뿌리공원로 79,4.4,3084
오-월드,대표명소,대전 중구 사정공원로 70,4.2,6778
계족산 황톳길,대표명소,대전 대덕구 장동 453-1,4.5,650
장태산자연휴양림,대표명소,대전 서구 장안로 461,4.5,4905
한밭수목원,대표명소,대전 서구 둔산대로 169,4.6,3794
이사동 민속마을,대표명소,대전 동구 이사로 102-21,4.8,4
옛 충남도청과 근현대사전시관,대표명소,대전 중구 중앙로 101,0.0,0
